title,log_budget,popularity,runtime,release_month,release_year,genre_count,log_revenue
The Polar Express,18.92145603792546,47.323228,100.0,11.0,2004.0,4,19.538689469589396
Independence Day: Resurgence,18.92145603792546,48.775723,120.0,6.0,2016.0,3,19.78084141562924
How to Train Your Dragon,18.92145603792546,67.263269,98.0,3.0,2010.0,4,20.019823361239958
Terminator 3: Rise of the Machines,19.11382792951231,69.405188,109.0,7.0,2003.0,3,19.89085659135181
Guardians of the Galaxy,18.951309000896888,481.098624,121.0,7.0,2014.0,3,20.466214652041472
Interstellar,18.92145603792546,724.247784,169.0,11.0,2014.0,3,20.330401037475912
Inception,18.8906843794481,167.58371,148.0,7.0,2010.0,5,20.531539511633092
Shin Godzilla,16.52356082573315,9.476999,120.0,7.0,2016.0,5,18.15931599280497
The Hobbit: An Unexpected Journey,19.33697147982652,108.849621,169.0,11.0,2012.0,3,20.74414980976988
The Fast and the Furious,17.453096744006448,6.909942,106.0,6.0,2001.0,3,19.149600034602248
The Curious Case of Benjamin Button,18.826145858727198,60.269279,166.0,11.0,2008.0,5,19.62644818894696
X-Men: First Class,18.8906843794481,3.195174,132.0,5.0,2011.0,3,19.683745113210374
The Hunger Games: Mockingjay - Part 2,18.8906843794481,127.284427,137.0,11.0,2015.0,3,20.297743309945446
The Sorcerer's Apprentice,18.826145858727198,35.580815,109.0,7.0,2010.0,5,19.187467450891013
Poseidon,18.8906843794481,21.133748,99.0,5.0,2006.0,4,19.017728932677564
Alice Through the Looking Glass,18.951309000896888,56.268916,113.0,5.0,2016.0,1,19.51719110845815
Shrek the Third,18.8906843794481,42.986467,93.0,5.0,2007.0,5,20.49881914441239
Warcraft,18.8906843794481,63.148529,123.0,5.0,2016.0,3,19.88781099962835
Terminator Genisys,18.858935681335133,202.042635,126.0,6.0,2015.0,4,19.903656022259423
The Chronicles of Narnia: The Voyage of the Dawn Treader,18.858935681335133,49.661984,113.0,8.0,2010.0,3,19.845441249956647
Pearl Harbor,18.757152987716434,34.20669,183.0,5.0,2001.0,3,19.923025409305108
Transformers,18.826145858727198,25.468493,144.0,6.0,2007.0,3,20.38036668527991
Alexander,18.858935681335133,39.019229,175.0,11.0,2004.0,6,18.935288364942355
Harry Potter and the Order of the Phoenix,18.826145858727198,78.144395,138.0,6.0,2007.0,4,20.65948728189478
Harry Potter and the Goblet of Fire,18.826145858727198,101.250416,157.0,11.0,2005.0,3,20.61336283870746
Hancock,18.826145858727198,56.758411,92.0,7.0,2008.0,2,20.25170799573874
I Am Legend,18.826145858727198,70.867401,101.0,12.0,2007.0,5,20.1877188273011
Charlie and the Chocolate Factory,18.826145858727198,53.905592,115.0,7.0,2005.0,4,19.978759599836632
Ratatouille,18.826145858727198,65.677399,111.0,6.0,2007.0,4,20.251216627327
